--------- beginning of crash
06-11 21:56:53.687 F/linker  (29981): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-11 21:56:55.477 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:55.495 D/ActivityTaskManager(  633): JioHomeManagerService :: ActivityRecord :: setState :: StateFrom :: INITIALIZING StateTo :: RESUMED 
06-11 21:56:55.504 V/DigitalSignage(  633): Package Name: null
06-11 21:56:55.504 V/DigitalSignage(  633): Left: 0
06-11 21:56:55.504 V/DigitalSignage(  633): Right: 0
06-11 21:56:55.504 V/DigitalSignage(  633): Top: 0
06-11 21:56:55.504 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:55.504 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:55.516 D/ActivityManager(  633): JioHomeManagerService :: StateFrom :: INITIALIZING StateTo :: RESUMED Activity :: in.startv.hotstar/com.hotstar.MainActivity Action :: com.jio.remote.action.applaunch
06-11 21:56:55.523 V/DigitalSignage(  633): Package Name: null
06-11 21:56:55.523 V/DigitalSignage(  633): Left: 0
06-11 21:56:55.523 V/DigitalSignage(  633): Right: 0
06-11 21:56:55.523 V/DigitalSignage(  633): Top: 0
06-11 21:56:55.523 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:55.524 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:55.912 D/ConnectivityService(  633): NetReassign [no changes]
06-11 21:56:55.913 V/DigitalSignage(  633): Package Name: null
06-11 21:56:55.914 V/DigitalSignage(  633): Left: 0
06-11 21:56:55.914 V/DigitalSignage(  633): Right: 0
06-11 21:56:55.914 V/DigitalSignage(  633): Top: 0
06-11 21:56:55.914 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:55.914 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:55.936 V/DigitalSignage(  633): Package Name: null
06-11 21:56:55.936 V/DigitalSignage(  633): Left: 0
06-11 21:56:55.936 V/DigitalSignage(  633): Right: 0
06-11 21:56:55.936 V/DigitalSignage(  633): Top: 0
06-11 21:56:55.936 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:55.936 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:56.340 V/DigitalSignage(  633): Package Name: null
06-11 21:56:56.340 V/DigitalSignage(  633): Left: 0
06-11 21:56:56.340 V/DigitalSignage(  633): Right: 0
06-11 21:56:56.340 V/DigitalSignage(  633): Top: 0
06-11 21:56:56.340 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:56.340 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:56.341 V/DigitalSignage(  633): Package Name: null
06-11 21:56:56.341 V/DigitalSignage(  633): Left: 0
06-11 21:56:56.341 V/DigitalSignage(  633): Right: 0
06-11 21:56:56.341 V/DigitalSignage(  633): Top: 0
06-11 21:56:56.341 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:56.341 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:56.400 V/DigitalSignage(  633): Package Name: null
06-11 21:56:56.401 V/DigitalSignage(  633): Left: 0
06-11 21:56:56.401 V/DigitalSignage(  633): Right: 0
06-11 21:56:56.401 V/DigitalSignage(  633): Top: 0
06-11 21:56:56.401 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:56.401 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:56.401 V/DigitalSignage(  633): Package Name: null
06-11 21:56:56.401 V/DigitalSignage(  633): Left: 0
06-11 21:56:56.401 V/DigitalSignage(  633): Right: 0
06-11 21:56:56.401 V/DigitalSignage(  633): Top: 0
06-11 21:56:56.401 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:56.401 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:56.403 V/DigitalSignage(  633): Package Name: null
06-11 21:56:56.403 V/DigitalSignage(  633): Left: 0
06-11 21:56:56.403 V/DigitalSignage(  633): Right: 0
06-11 21:56:56.403 V/DigitalSignage(  633): Top: 0
06-11 21:56:56.403 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:56.403 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:56.403 V/DigitalSignage(  633): Package Name: null
06-11 21:56:56.403 V/DigitalSignage(  633): Left: 0
06-11 21:56:56.403 V/DigitalSignage(  633): Right: 0
06-11 21:56:56.403 V/DigitalSignage(  633): Top: 0
06-11 21:56:56.403 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:56.404 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:56.420 V/DigitalSignage(  633): Package Name: null
06-11 21:56:56.420 V/DigitalSignage(  633): Left: 0
06-11 21:56:56.420 V/DigitalSignage(  633): Right: 0
06-11 21:56:56.420 V/DigitalSignage(  633): Top: 0
06-11 21:56:56.420 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:56.420 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:56.420 V/DigitalSignage(  633): Package Name: null
06-11 21:56:56.420 V/DigitalSignage(  633): Left: 0
06-11 21:56:56.421 V/DigitalSignage(  633): Right: 0
06-11 21:56:56.426 V/DigitalSignage(  633): Top: 0
06-11 21:56:56.426 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:56.426 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:56.465 V/DigitalSignage(  633): Package Name: null
06-11 21:56:56.465 V/DigitalSignage(  633): Left: 0
06-11 21:56:56.465 V/DigitalSignage(  633): Right: 0
06-11 21:56:56.465 V/DigitalSignage(  633): Top: 0
06-11 21:56:56.465 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:56.465 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:56.465 V/DigitalSignage(  633): Package Name: null
06-11 21:56:56.465 V/DigitalSignage(  633): Left: 0
06-11 21:56:56.465 V/DigitalSignage(  633): Right: 0
06-11 21:56:56.465 V/DigitalSignage(  633): Top: 0
06-11 21:56:56.465 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:56.466 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:56.576 V/DigitalSignage(  633): Package Name: null
06-11 21:56:56.576 V/DigitalSignage(  633): Left: 0
06-11 21:56:56.576 V/DigitalSignage(  633): Right: 0
06-11 21:56:56.576 V/DigitalSignage(  633): Top: 0
06-11 21:56:56.576 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:56.577 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:56.594 V/DigitalSignage(  633): Package Name: null
06-11 21:56:56.594 V/DigitalSignage(  633): Left: 0
06-11 21:56:56.594 V/DigitalSignage(  633): Right: 0
06-11 21:56:56.594 V/DigitalSignage(  633): Top: 0
06-11 21:56:56.594 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:56.594 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:56.661 D/CompatibilityChangeReporter(  633): Compat change id reported: 136274596; UID 10072; state: ENABLED
06-11 21:56:58.182 W/[ 5049.332745@3]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2482
06-11 21:56:58.689 F/linker  (30142): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-11 21:56:59.524 E/TaskPersister(  633): File error accessing recents directory (directory doesn't exist?).
06-11 21:57:03.330 W/[ 5054.481975@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3208
06-11 21:57:03.691 F/linker  (30155): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-11 21:57:07.879 W/[ 5059.031397@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3843
06-11 21:57:08.697 F/linker  (30171): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-11 21:57:12.942 W/[ 5064.090303@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 536
06-11 21:57:13.189 V/DigitalSignage(  633): Package Name: null
06-11 21:57:13.189 V/DigitalSignage(  633): Left: 0
06-11 21:57:13.189 V/DigitalSignage(  633): Right: 0
06-11 21:57:13.189 V/DigitalSignage(  633): Top: 0
06-11 21:57:13.189 V/DigitalSignage(  633): Bottom: 0
06-11 21:57:13.190 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:57:13.398 W/[ 5064.550436@2]  audit(    0): audit_lost=5382 audit_rate_limit=5 audit_backlog_limit=64
06-11 21:57:13.398 E/[ 5064.550445@2]  audit(    0): rate limit exceeded
06-11 21:57:13.705 F/linker  (30182): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-11 21:57:14.670 W/[ 5065.821734@1]  audit(    0): audit_lost=5496 audit_rate_limit=5 audit_backlog_limit=64
06-11 21:57:14.670 E/[ 5065.821744@1]  audit(    0): rate limit exceeded
06-11 21:57:17.682 V/DigitalSignage(  633): Package Name: null
06-11 21:57:17.682 V/DigitalSignage(  633): Left: 0
06-11 21:57:17.682 V/DigitalSignage(  633): Right: 0
06-11 21:57:17.682 V/DigitalSignage(  633): Top: 0
06-11 21:57:17.682 V/DigitalSignage(  633): Bottom: 0
06-11 21:57:17.683 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:57:17.706 W/[ 5068.856825@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1410
06-11 21:57:17.728 V/DigitalSignage(  633): Package Name: null
06-11 21:57:17.728 V/DigitalSignage(  633): Left: 0
06-11 21:57:17.728 V/DigitalSignage(  633): Right: 0
06-11 21:57:17.728 V/DigitalSignage(  633): Top: 0
06-11 21:57:17.728 V/DigitalSignage(  633): Bottom: 0
06-11 21:57:17.729 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:57:17.740 D/PackageManager(  633): Instant App installer not found with android.intent.action.INSTALL_INSTANT_APP_PACKAGE
06-11 21:57:17.740 D/PackageManager(  633): Clear ephemeral installer activity
06-11 21:57:18.704 F/linker  (30208): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-11 21:57:18.777 I/AppsFilter(  633): interaction: PackageSetting{d0429bc io.appium.uiautomator2.server.test/10095} -> PackageSetting{860805a in.startv.hotstar/10072} BLOCKED
06-11 21:57:18.777 I/AppsFilter(  633): interaction: PackageSetting{ca44c9a com.omni.simplesetup/10026} -> PackageSetting{860805a in.startv.hotstar/10072} BLOCKED
06-11 21:57:18.777 I/AppsFilter(  633): interaction: PackageSetting{a67b9cb io.appium.settings/10094} -> PackageSetting{860805a in.startv.hotstar/10072} BLOCKED
06-11 21:57:18.783 I/RoleManagerService(  633): Granting default roles...
06-11 21:57:19.339 D/AutofillManagerService(  633): onBackKeyPressed()
06-11 21:57:19.502 I/[ 5070.653667@1]  resman(    0): 72 appname:OMX-52, type=0
06-11 21:57:19.600 I/[ 5070.751127@3]  resman(    0): 72 acquire [decoder], preempt yes
06-11 21:57:19.600 I/[ 5070.751138@3]  resman(    0): 72 acquire [decoder] success
06-11 21:57:19.600 I/[ 5070.751166@3]  resman(    0): 72 acquire [codec_mm], preempt yes
06-11 21:57:19.600 I/[ 5070.751173@3]  resman(    0): 72 score 60 secure no
06-11 21:57:19.600 I/[ 5070.751179@3]  resman(    0): 72 acquire [codec_mm] success
06-11 21:57:19.618 I/[ 5070.772009@1]  [amlv4l](    0): [61]: DW:1, TW:0, Margin:5
06-11 21:57:19.618 D/[ 5070.772240@1]  [amlcom](    0): vdec_create instance 0000000059757052, total 1, PM: power-domain
06-11 21:57:19.618 D/[ 5070.772508@1]  [media_clock](    0): hevc mux clock is 499999992 Hz
06-11 21:57:19.624 D/[ 5070.772782@1]  [media_clock](    0): hevc back mux clock is 499999992 Hz
06-11 21:57:19.624 I/[ 5070.772964@1]  [amlcom](    0): vdec_init, dev_name:ammvdec_h265_v4l, vdec_type=VDEC_TYPE_FRAME_BLOCK, format: 11, total: 1
06-11 21:57:19.624 D/[ 5070.773561@1]  [h265](    0): [0]pdata->config=parm_v4l_codec_enable:1;parm_v4l_buffer_margin:5;hevc_double_write_mode:1;hevc_triple_write_mode:0;hevc_buf_width:4096;hevc_buf_height:2304;save_buffer_mode:0;parm_v4l_canvas_mem_mode:0;parm_v4l_canvas_mem_endian:0;parm_v4l_low_latency_mode:0;parm_v4l_metadata_config_flag:49154;parm_v4l_duration:4004;dv_profile:0;
06-11 21:57:19.624 D/[ 5070.773627@1]  [h265](    0): [0]discard dv data
06-11 21:57:19.624 D/[ 5070.773635@1]  [h265](    0): [0]dv_profile: 0
06-11 21:57:19.624 D/[ 5070.777365@1]  [h265](    0): [0]dynamic_buf_num_margin=5
06-11 21:57:19.624 D/[ 5070.777378@1]  [h265](    0): [0]double_write_mode=1
06-11 21:57:19.624 D/[ 5070.777381@1]  [h265](    0): [0]nal_skip_policy=2
06-11 21:57:19.624 D/[ 5070.777392@1]  [h265](    0): [0]h265:pts_unstable=0
06-11 21:57:19.624 D/[ 5070.777397@1]  [h265](    0): [0]h265: ver (201602101,0) decinfo: 0x0 rate=4004
06-11 21:57:19.633 D/[ 5070.783626@1]  [h265](    0): ucode version 4.138, swap enable 1
06-11 21:57:19.633 D/[ 5070.783934@1]  [media_clock](    0): hevc mux clock is 799999988 Hz
06-11 21:57:19.633 D/[ 5070.784227@1]  [media_clock](    0): hevc back mux clock is 799999988 Hz
06-11 21:57:19.633 D/[ 5070.784237@1]  [amlcom](    0): hevc video changed to 3840 x 2160 60 fps clk->800MHZ
06-11 21:57:19.714 D/[ 5070.866231@2]  [h265](    0): [0]vh265 cached=0  need_size=16384 speed= 92 ms
06-11 21:57:19.714 D/[ 5070.866697@0]  [h265](    0): set ucode parse
06-11 21:57:19.714 W/        (    0): [ 5070.866710@0]  hevc get comp info: 64 65536 797
06-11 21:57:19.714 D/[ 5070.866715@0]  [h265](    0): margin = 5, sps_max_dec_pic_buffering_minus1_0 = 5
06-11 21:57:19.714 I/[ 5070.866729@0]  [amlv4l](    0): [61]: Parse from ucode, visible(1920 x 1080), coded(1920 x 1088), scan:P, bitdepth(8), DW/TW(1, 0)
06-11 21:57:19.714 I/[ 5070.866779@1]  [amlv4l](    0): [61]: Picture buffer count: dec:7, vpp:0, ge2d:0, margin:5, total:12
06-11 21:57:19.714 D/[ 5070.866789@1]  [amlv4l](    0): [61]: Post event: res chg
06-11 21:57:19.714 D/[ 5070.867814@0]  [h265](    0): [0]hevc->performance_profile 0
06-11 21:57:19.714 D/[ 5070.867835@0]  [h265](    0): [0]set pic_list_init_flag 1
06-11 21:57:19.714 D/[ 5070.868073@0]  [h265](    0): [0]init_buf_spec2 1920 1080
06-11 21:57:19.714 D/[ 5070.868085@0]  [h265](    0): [0]set pic_list_init_flag to 2
06-11 21:57:19.714 D/[ 5070.868120@0]  [h265](    0): [0]set pic_list_init_flag to 3
06-11 21:57:19.714 D/[ 5070.868123@0]  [h265](    0): [vdec_kpi][vh265_isr_thread_fn] First I frame coming.
06-11 21:57:19.727 I/[ 5070.874151@3]  dim(    0): reg:use[0]ms
06-11 21:57:19.727 I/[ 5070.874164@3]  dim(    0): create:ch[2],tmode[3]
06-11 21:57:19.727 I/[ 5070.874167@3]  dim(    0): out:0x80000000
06-11 21:57:19.745 D/[ 5070.896123@0]  [h265](    0): [0]VH265: output first frame poc 0
06-11 21:57:19.746 D/[ 5070.896150@0]  [h265](    0): [0]decoder duration change old: 0 new: 4004
06-11 21:57:19.746 D/[ 5070.896168@0]  [h265](    0): [vdec_kpi][post_video_frame] First I frame decoded.
06-11 21:57:19.755 I/[ 5070.905980@3]  dim(    0): value reg:ch[2]:fix_buf:0;ponly <0,0>
06-11 21:57:19.755 I/[ 5070.905998@3]  dim(    0): di_cnt_i_buf1:tvp:0
06-11 21:57:19.755 I/[ 5070.906009@3]  dim(    0): buf large::0x4fb000, 0x5a1000
06-11 21:57:19.755 I/[ 5070.906047@3]  vpu(    0): vpu: vpu_dev_clk_gate_on: unsupport vpu mod: 72
06-11 21:57:19.755 I/[ 5070.906917@3]  dim(    0): ch[2]:reg:mem cfg[0][0][0]
06-11 21:57:20.116 V/DigitalSignage(  633): Package Name: null
06-11 21:57:20.116 V/DigitalSignage(  633): Left: 0
06-11 21:57:20.116 V/DigitalSignage(  633): Right: 0
06-11 21:57:20.116 V/DigitalSignage(  633): Top: 0
06-11 21:57:20.116 V/DigitalSignage(  633): Bottom: 0
06-11 21:57:20.117 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:57:20.470 I/[ 5071.620977@1]  VID(    0): VD1 off
06-11 21:57:20.471 I/[ 5071.621173@1]  vc(    0): [0]vc: set enable index=0, val=1
06-11 21:57:20.471 I/        (    0): [ 5071.621197@1]  dev->index =0, val=2
06-11 21:57:20.471 I/[ 5071.621200@1]  VID(    0): VD1 off
06-11 21:57:20.471 I/[ 5071.621207@1]  VID(    0): VD1 set global output as 1
06-11 21:57:20.471 I/[ 5071.621236@1]  VID(    0): store VD0 path_id changed -1->2
06-11 21:57:20.471 I/[ 5071.621261@1]  vc(    0): [0]sideband_type =-1
06-11 21:57:21.358 W/[ 5072.509159@3]  RTW(    0): Turbo EDCA =0xa42b
06-11 21:57:22.502 I/[ 5073.654750@0]  [amlv4l](    0): [61]: reset mode: 1, es frames buffering: 34
06-11 21:57:22.502 D/[ 5073.655460@0]  [h265](    0): [0]h265:pts_unstable=0
06-11 21:57:22.503 D/[ 5073.655471@0]  [h265](    0): [0]h265: ver (201602101,0) decinfo: 0x0 rate=4004
06-11 21:57:22.514 I/[ 5073.666054@0]  [amlv4l](    0): [61]: reset mode: 1, es frames buffering: 0
06-11 21:57:22.514 D/[ 5073.666128@0]  [h265](    0): [0]h265:pts_unstable=0
06-11 21:57:22.514 D/[ 5073.666135@0]  [h265](    0): [0]h265: ver (201602101,0) decinfo: 0x0 rate=4004
06-11 21:57:22.546 I/[ 5073.696597@3]  dim(    0): unreg:2keep[0], msk:[0x0,0x0]
06-11 21:57:22.555 I/[ 5073.706708@3]  vpu(    0): vpu: vpu_dev_clk_gate_off: unsupport vpu mod: 72
06-11 21:57:22.559 I/[ 5073.707502@3]  dim(    0): unreg:use[28]ms
06-11 21:57:22.559 I/[ 5073.707514@3]  dim(    0): di_destroy_instance:ch[2]:end
06-11 21:57:22.559 I/[ 5073.707634@3]  dim(    0): reg:use[0]ms
06-11 21:57:22.559 I/[ 5073.707645@3]  dim(    0): create:ch[2],tmode[3]
06-11 21:57:22.559 I/[ 5073.707648@3]  dim(    0): out:0x80000000
06-11 21:57:22.559 I/[ 5073.709252@3]  [amlv4l](    0): [61]: reset mode: 1, es frames buffering: 0
06-11 21:57:22.559 D/[ 5073.709323@3]  [h265](    0): [0]h265:pts_unstable=0
06-11 21:57:22.559 D/[ 5073.709329@3]  [h265](    0): [0]h265: ver (201602101,0) decinfo: 0x0 rate=4004
06-11 21:57:22.570 I/[ 5073.721386@3]  [amlv4l](    0): [61]: reset mode: 1, es frames buffering: 0
06-11 21:57:22.570 D/[ 5073.721463@3]  [h265](    0): [0]h265:pts_unstable=0
06-11 21:57:22.571 D/[ 5073.721469@3]  [h265](    0): [0]h265: ver (201602101,0) decinfo: 0x0 rate=4004
06-11 21:57:22.592 I/[ 5073.743228@2]  [amlv4l](    0): [61]: reset mode: 1, es frames buffering: 0
06-11 21:57:22.592 D/[ 5073.743303@2]  [h265](    0): [0]h265:pts_unstable=0
06-11 21:57:22.592 D/[ 5073.743309@2]  [h265](    0): [0]h265: ver (201602101,0) decinfo: 0x0 rate=4004
06-11 21:57:22.608 D/[ 5073.756630@2]  [amlcom](    0): vdec_release instance 0000000059757052, total 1
06-11 21:57:22.611 D/[ 5073.756781@2]  [media_clock](    0): the clk_hevcf_mux   clock off, ref cnt: 0
06-11 21:57:22.611 D/[ 5073.756792@2]  [media_clock](    0): the clk_hevcb_mux   clock off, ref cnt: 0
06-11 21:57:22.611 I/[ 5073.758345@2]  dim(    0): unreg:use[1]ms
06-11 21:57:22.611 I/[ 5073.758357@2]  dim(    0): di_destroy_instance:ch[2]:end
06-11 21:57:22.611 I/[ 5073.760456@1]  resman(    0): 72 release [decoder]
06-11 21:57:22.611 I/[ 5073.760469@1]  resman(    0): 72 release [codec_mm]
06-11 21:57:22.611 E/        (    0): [ 5073.762580@2]  disalbe fastplay
06-11 21:57:22.773 V/DigitalSignage(  633): Package Name: null
06-11 21:57:22.773 V/DigitalSignage(  633): Left: 0
06-11 21:57:22.773 V/DigitalSignage(  633): Right: 0
06-11 21:57:22.773 V/DigitalSignage(  633): Top: 0
06-11 21:57:22.773 V/DigitalSignage(  633): Bottom: 0
06-11 21:57:22.774 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:57:22.809 I/[ 5073.956292@2]  vc(    0): [0]vc: set enable index=0, val=0
06-11 21:57:22.886 I/[ 5073.956317@2]  VID(    0): store VD0 path_id changed 2->-1
06-11 21:57:22.886 I/        (    0): [ 5073.956321@2]  dev->index =0, val=1
06-11 21:57:22.886 I/[ 5073.956324@2]  VID(    0): VD1 off
06-11 21:57:22.886 I/[ 5073.956329@2]  VID(    0): VD1 set global output as 0
06-11 21:57:22.893 I/        (    0): [ 5073.956350@2]  common_vf_unreg_provider video_render.0: vd1 used: true, vd2 used: false, vd3 used: false, black_out:0, cur_buf:00000000ebc7e71a
06-11 21:57:22.923 W/[ 5074.076512@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1029
06-11 21:57:23.258 V/DigitalSignage(  633): Package Name: null
06-11 21:57:23.258 V/DigitalSignage(  633): Left: 0
06-11 21:57:23.259 V/DigitalSignage(  633): Right: 0
06-11 21:57:23.259 V/DigitalSignage(  633): Top: 0
06-11 21:57:23.259 V/DigitalSignage(  633): Bottom: 0
06-11 21:57:23.259 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:57:23.398 D/PackageManager(  633): Instant App installer not found with android.intent.action.INSTALL_INSTANT_APP_PACKAGE
06-11 21:57:23.398 D/PackageManager(  633): Clear ephemeral installer activity
