--------- beginning of main
06-12 23:20:28.576 W/ServerBootstrap(21098): Unknown channel option 'SO_KEEPALIVE' for channel '[id: 0x5c9caeec]'
06-12 23:20:28.578 W/ServerBootstrap(21098): Unknown channel option 'TCP_NODELAY' for channel '[id: 0x5c9caeec]'
06-12 23:20:28.580 I/chatty  (  403): uid=0(root) DK-SiCntrl expire 202 lines
--------- beginning of kernel
06-12 23:20:30.011 W/[ 3397.131357@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1863
06-12 23:20:30.539 D/[ 3397.654446@2]  logd(    0): logdr: UID=0 GID=0 PID=21191 b tail=0 logMask=99 pid=0 start=0ns timeout=0ns
06-12 23:20:30.547 D/[ 3397.666533@2]  logd(    0): Skipping 4294967295 entries from slow reader, pid 21191, from LogBuffer::kickMe()
--------- beginning of system
06-12 23:20:30.946 I/ActivityTaskManager(  637): START u0 {flg=0x10000000 cmp=in.startv.hotstar/com.hotstar.MainActivity} from uid 0
06-12 23:20:30.988 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:30.988 V/DigitalSignage(  637): Package Name: null
06-12 23:20:30.988 V/DigitalSignage(  637): Left: 0
06-12 23:20:30.988 V/DigitalSignage(  637): Right: 0
06-12 23:20:30.988 V/DigitalSignage(  637): Top: 0
06-12 23:20:30.988 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:30.988 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:31.027 V/DigitalSignage(  637): Package Name: null
06-12 23:20:31.027 V/DigitalSignage(  637): Left: 0
06-12 23:20:31.027 W/ActivityManager(  637): Slow operation: 69ms so far, now at startProcess: returned from zygote!
06-12 23:20:31.027 V/DigitalSignage(  637): Right: 0
06-12 23:20:31.028 V/DigitalSignage(  637): Top: 0
06-12 23:20:31.028 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:31.028 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:31.035 W/ActivityManager(  637): Slow operation: 77ms so far, now at startProcess: done updating battery stats
06-12 23:20:31.035 W/ActivityManager(  637): Slow operation: 77ms so far, now at startProcess: building log message
06-12 23:20:31.036 I/ActivityManager(  637): Start proc 21213:in.startv.hotstar/u0a72 for pre-top-activity {in.startv.hotstar/com.hotstar.MainActivity}
06-12 23:20:31.036 W/ActivityManager(  637): Slow operation: 77ms so far, now at startProcess: starting to update pids map
06-12 23:20:31.037 W/ActivityManager(  637): Slow operation: 78ms so far, now at startProcess: done updating pids map
06-12 23:20:31.085 D/ActivityTaskManager(  637): JioHomeManagerService :: ActivityRecord :: setState :: StateFrom :: INITIALIZING StateTo :: RESUMED 
06-12 23:20:31.087 V/DigitalSignage(  637): Package Name: null
06-12 23:20:31.087 V/DigitalSignage(  637): Left: 0
06-12 23:20:31.087 V/DigitalSignage(  637): Right: 0
06-12 23:20:31.087 V/DigitalSignage(  637): Top: 0
06-12 23:20:31.087 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:31.087 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:31.099 V/DigitalSignage(  637): Package Name: null
06-12 23:20:31.099 V/DigitalSignage(  637): Left: 0
06-12 23:20:31.099 V/DigitalSignage(  637): Right: 0
06-12 23:20:31.099 V/DigitalSignage(  637): Top: 0
06-12 23:20:31.099 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:31.100 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:31.125 D/ActivityManager(  637): JioHomeManagerService :: StateFrom :: INITIALIZING StateTo :: RESUMED Activity :: in.startv.hotstar/com.hotstar.MainActivity Action :: com.jio.remote.action.applaunch
06-12 23:20:31.137 V/DigitalSignage(  637): Package Name: null
06-12 23:20:31.137 V/DigitalSignage(  637): Left: 0
06-12 23:20:31.137 V/DigitalSignage(  637): Right: 0
06-12 23:20:31.137 V/DigitalSignage(  637): Top: 0
06-12 23:20:31.137 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:31.137 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
--------- beginning of crash
06-12 23:20:31.186 F/linker  (21235): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 23:20:31.520 V/DigitalSignage(  637): Package Name: null
06-12 23:20:31.520 V/DigitalSignage(  637): Left: 0
06-12 23:20:31.520 V/DigitalSignage(  637): Right: 0
06-12 23:20:31.520 V/DigitalSignage(  637): Top: 0
06-12 23:20:31.520 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:31.520 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:31.604 D/ConnectivityService(  637): NetReassign [no changes]
06-12 23:20:31.718 D/CompatibilityChangeReporter(  637): Compat change id reported: 136274596; UID 10072; state: ENABLED
06-12 23:20:31.807 V/DigitalSignage(  637): Package Name: null
06-12 23:20:31.807 V/DigitalSignage(  637): Left: 0
06-12 23:20:31.807 V/DigitalSignage(  637): Right: 0
06-12 23:20:31.807 V/DigitalSignage(  637): Top: 0
06-12 23:20:31.807 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:31.807 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:31.807 V/DigitalSignage(  637): Package Name: null
06-12 23:20:31.807 V/DigitalSignage(  637): Left: 0
06-12 23:20:31.807 V/DigitalSignage(  637): Right: 0
06-12 23:20:31.807 V/DigitalSignage(  637): Top: 0
06-12 23:20:31.807 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:31.808 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:31.966 V/DigitalSignage(  637): Package Name: null
06-12 23:20:31.966 V/DigitalSignage(  637): Left: 0
06-12 23:20:31.966 V/DigitalSignage(  637): Right: 0
06-12 23:20:31.966 V/DigitalSignage(  637): Top: 0
06-12 23:20:31.966 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:31.967 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:31.967 V/DigitalSignage(  637): Package Name: null
06-12 23:20:31.967 V/DigitalSignage(  637): Left: 0
06-12 23:20:31.967 V/DigitalSignage(  637): Right: 0
06-12 23:20:31.967 V/DigitalSignage(  637): Top: 0
06-12 23:20:31.967 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:31.967 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:31.969 V/DigitalSignage(  637): Package Name: null
06-12 23:20:31.969 V/DigitalSignage(  637): Left: 0
06-12 23:20:31.969 V/DigitalSignage(  637): Right: 0
06-12 23:20:31.969 V/DigitalSignage(  637): Top: 0
06-12 23:20:31.969 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:31.977 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:31.977 V/DigitalSignage(  637): Package Name: null
06-12 23:20:31.977 V/DigitalSignage(  637): Left: 0
06-12 23:20:31.978 V/DigitalSignage(  637): Right: 0
06-12 23:20:31.978 V/DigitalSignage(  637): Top: 0
06-12 23:20:31.978 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:31.978 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:32.021 V/DigitalSignage(  637): Package Name: null
06-12 23:20:32.021 V/DigitalSignage(  637): Left: 0
06-12 23:20:32.021 V/DigitalSignage(  637): Right: 0
06-12 23:20:32.021 V/DigitalSignage(  637): Top: 0
06-12 23:20:32.021 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:32.021 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:32.021 V/DigitalSignage(  637): Package Name: null
06-12 23:20:32.021 V/DigitalSignage(  637): Left: 0
06-12 23:20:32.021 V/DigitalSignage(  637): Right: 0
06-12 23:20:32.021 V/DigitalSignage(  637): Top: 0
06-12 23:20:32.021 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:32.022 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:32.186 V/DigitalSignage(  637): Package Name: null
06-12 23:20:32.186 V/DigitalSignage(  637): Left: 0
06-12 23:20:32.186 V/DigitalSignage(  637): Right: 0
06-12 23:20:32.186 V/DigitalSignage(  637): Top: 0
06-12 23:20:32.186 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:32.186 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:32.206 V/DigitalSignage(  637): Package Name: null
06-12 23:20:32.206 V/DigitalSignage(  637): Left: 0
06-12 23:20:32.206 V/DigitalSignage(  637): Right: 0
06-12 23:20:32.206 V/DigitalSignage(  637): Top: 0
06-12 23:20:32.206 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:32.206 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:32.316 V/DigitalSignage(  637): Package Name: null
06-12 23:20:32.316 V/DigitalSignage(  637): Left: 0
06-12 23:20:32.317 V/DigitalSignage(  637): Right: 0
06-12 23:20:32.317 V/DigitalSignage(  637): Top: 0
06-12 23:20:32.317 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:32.317 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:33.118 V/DigitalSignage(  637): Package Name: null
06-12 23:20:33.118 V/DigitalSignage(  637): Left: 0
06-12 23:20:33.118 V/DigitalSignage(  637): Right: 0
06-12 23:20:33.119 V/DigitalSignage(  637): Top: 0
06-12 23:20:33.119 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:33.119 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:35.081 E/TaskPersister(  637): File error accessing recents directory (directory doesn't exist?).
06-12 23:20:35.111 W/[ 3402.231397@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3119
06-12 23:20:36.086 F/linker  (21413): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 23:20:38.964 V/DigitalSignage(  637): Package Name: null
06-12 23:20:38.964 V/DigitalSignage(  637): Left: 0
06-12 23:20:38.964 V/DigitalSignage(  637): Right: 0
06-12 23:20:38.964 V/DigitalSignage(  637): Top: 0
06-12 23:20:38.964 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:38.964 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:39.407 W/[ 3406.527506@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 4086
06-12 23:20:41.086 F/linker  (21468): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 23:20:42.683 V/DigitalSignage(  637): Package Name: null
06-12 23:20:42.683 V/DigitalSignage(  637): Left: 0
06-12 23:20:42.683 V/DigitalSignage(  637): Right: 0
06-12 23:20:42.683 V/DigitalSignage(  637): Top: 0
06-12 23:20:42.683 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:42.683 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:42.701 V/DigitalSignage(  637): Package Name: null
06-12 23:20:42.701 V/DigitalSignage(  637): Left: 0
06-12 23:20:42.701 V/DigitalSignage(  637): Right: 0
06-12 23:20:42.701 V/DigitalSignage(  637): Top: 0
06-12 23:20:42.701 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:42.701 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:44.151 W/[ 3411.268604@0]  RTW(    0): Turbo EDCA =0xa42b
06-12 23:20:44.200 D/AutofillManagerService(  637): onBackKeyPressed()
06-12 23:20:44.255 W/[ 3411.372822@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1271
06-12 23:20:46.102 F/linker  (21505): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 23:20:46.167 W/[ 3413.284593@3]  RTW(    0): Turbo EDCA =0x5ea42b
06-12 23:20:46.484 V/DigitalSignage(  637): Package Name: null
06-12 23:20:46.484 V/DigitalSignage(  637): Left: 0
06-12 23:20:46.484 V/DigitalSignage(  637): Right: 0
06-12 23:20:46.484 V/DigitalSignage(  637): Top: 0
06-12 23:20:46.484 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:46.484 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:46.798 V/DigitalSignage(  637): Package Name: null
06-12 23:20:46.798 V/DigitalSignage(  637): Left: 0
06-12 23:20:46.798 V/DigitalSignage(  637): Right: 0
06-12 23:20:46.798 V/DigitalSignage(  637): Top: 0
06-12 23:20:46.798 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:46.799 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:47.886 V/DigitalSignage(  637): Package Name: null
06-12 23:20:47.886 V/DigitalSignage(  637): Left: 0
06-12 23:20:47.886 V/DigitalSignage(  637): Right: 0
06-12 23:20:47.886 V/DigitalSignage(  637): Top: 0
06-12 23:20:47.886 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:47.886 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:47.892 V/DigitalSignage(  637): Package Name: null
06-12 23:20:47.892 V/DigitalSignage(  637): Left: 0
06-12 23:20:47.892 V/DigitalSignage(  637): Right: 0
06-12 23:20:47.892 V/DigitalSignage(  637): Top: 0
06-12 23:20:47.892 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:47.893 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:47.893 V/DigitalSignage(  637): Package Name: null
06-12 23:20:47.893 V/DigitalSignage(  637): Left: 0
06-12 23:20:47.893 V/DigitalSignage(  637): Right: 0
06-12 23:20:47.893 V/DigitalSignage(  637): Top: 0
06-12 23:20:47.893 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:47.893 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:47.927 V/DigitalSignage(  637): Package Name: null
06-12 23:20:47.927 V/DigitalSignage(  637): Left: 0
06-12 23:20:47.927 V/DigitalSignage(  637): Right: 0
06-12 23:20:47.927 V/DigitalSignage(  637): Top: 0
06-12 23:20:47.927 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:47.928 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:47.929 V/DigitalSignage(  637): Package Name: null
06-12 23:20:47.931 V/DigitalSignage(  637): Left: 0
06-12 23:20:47.931 V/DigitalSignage(  637): Right: 0
06-12 23:20:47.931 V/DigitalSignage(  637): Top: 0
06-12 23:20:47.931 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:47.932 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:47.945 V/DigitalSignage(  637): Package Name: null
06-12 23:20:47.945 V/DigitalSignage(  637): Left: 0
06-12 23:20:47.945 V/DigitalSignage(  637): Right: 0
06-12 23:20:47.945 V/DigitalSignage(  637): Top: 0
06-12 23:20:47.945 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:47.945 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:47.945 V/DigitalSignage(  637): Package Name: null
06-12 23:20:47.945 V/DigitalSignage(  637): Left: 0
06-12 23:20:47.945 V/DigitalSignage(  637): Right: 0
06-12 23:20:47.945 V/DigitalSignage(  637): Top: 0
06-12 23:20:47.945 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:47.946 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:47.951 V/DigitalSignage(  637): Package Name: null
06-12 23:20:47.952 V/DigitalSignage(  637): Left: 0
06-12 23:20:47.952 V/DigitalSignage(  637): Right: 0
06-12 23:20:47.952 V/DigitalSignage(  637): Top: 0
06-12 23:20:47.952 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:47.952 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:47.952 V/DigitalSignage(  637): Package Name: null
06-12 23:20:47.952 V/DigitalSignage(  637): Left: 0
06-12 23:20:47.952 V/DigitalSignage(  637): Right: 0
06-12 23:20:47.952 V/DigitalSignage(  637): Top: 0
06-12 23:20:47.952 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:47.952 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:47.988 V/DigitalSignage(  637): Package Name: null
06-12 23:20:47.988 V/DigitalSignage(  637): Left: 0
06-12 23:20:47.988 V/DigitalSignage(  637): Right: 0
06-12 23:20:47.988 V/DigitalSignage(  637): Top: 0
06-12 23:20:47.988 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:47.988 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:47.988 V/DigitalSignage(  637): Package Name: null
06-12 23:20:47.988 V/DigitalSignage(  637): Left: 0
06-12 23:20:47.988 V/DigitalSignage(  637): Right: 0
06-12 23:20:47.988 V/DigitalSignage(  637): Top: 0
06-12 23:20:47.988 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:47.989 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:47.990 V/DigitalSignage(  637): Package Name: null
06-12 23:20:47.990 V/DigitalSignage(  637): Left: 0
06-12 23:20:47.990 V/DigitalSignage(  637): Right: 0
06-12 23:20:47.990 V/DigitalSignage(  637): Top: 0
06-12 23:20:47.990 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:47.991 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:47.991 V/DigitalSignage(  637): Package Name: null
06-12 23:20:47.991 V/DigitalSignage(  637): Left: 0
06-12 23:20:47.991 V/DigitalSignage(  637): Right: 0
06-12 23:20:47.991 V/DigitalSignage(  637): Top: 0
06-12 23:20:47.991 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:47.991 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:49.153 V/DigitalSignage(  637): Package Name: null
06-12 23:20:49.153 V/DigitalSignage(  637): Left: 0
06-12 23:20:49.153 V/DigitalSignage(  637): Right: 0
06-12 23:20:49.153 V/DigitalSignage(  637): Top: 0
06-12 23:20:49.153 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:49.154 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:49.154 V/DigitalSignage(  637): Package Name: null
06-12 23:20:49.154 V/DigitalSignage(  637): Left: 0
06-12 23:20:49.154 V/DigitalSignage(  637): Right: 0
06-12 23:20:49.154 V/DigitalSignage(  637): Top: 0
06-12 23:20:49.154 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:49.154 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:49.335 W/[ 3416.452544@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2707
06-12 23:20:49.450 V/DigitalSignage(  637): Package Name: null
06-12 23:20:49.451 V/DigitalSignage(  637): Left: 0
06-12 23:20:49.451 V/DigitalSignage(  637): Right: 0
06-12 23:20:49.451 V/DigitalSignage(  637): Top: 0
06-12 23:20:49.451 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:49.451 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:49.451 V/DigitalSignage(  637): Package Name: null
06-12 23:20:49.451 V/DigitalSignage(  637): Left: 0
06-12 23:20:49.451 V/DigitalSignage(  637): Right: 0
06-12 23:20:49.451 V/DigitalSignage(  637): Top: 0
06-12 23:20:49.451 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:49.451 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:50.189 D/AutofillManagerService(  637): onBackKeyPressed()
06-12 23:20:50.200 V/DigitalSignage(  637): Package Name: null
06-12 23:20:50.201 V/DigitalSignage(  637): Left: 0
06-12 23:20:50.201 V/DigitalSignage(  637): Right: 0
06-12 23:20:50.201 V/DigitalSignage(  637): Top: 0
06-12 23:20:50.201 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:50.202 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:50.202 V/DigitalSignage(  637): Package Name: null
06-12 23:20:50.202 V/DigitalSignage(  637): Left: 0
06-12 23:20:50.202 V/DigitalSignage(  637): Right: 0
06-12 23:20:50.202 V/DigitalSignage(  637): Top: 0
06-12 23:20:50.202 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:50.202 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:50.227 V/DigitalSignage(  637): Package Name: null
06-12 23:20:50.227 V/DigitalSignage(  637): Left: 0
06-12 23:20:50.227 V/DigitalSignage(  637): Right: 0
06-12 23:20:50.227 V/DigitalSignage(  637): Top: 0
06-12 23:20:50.227 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:50.227 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:50.227 V/DigitalSignage(  637): Package Name: null
06-12 23:20:50.228 V/DigitalSignage(  637): Left: 0
06-12 23:20:50.228 V/DigitalSignage(  637): Right: 0
06-12 23:20:50.228 V/DigitalSignage(  637): Top: 0
06-12 23:20:50.228 V/DigitalSignage(  637): Bottom: 0
06-12 23:20:50.228 D/DigitalSignage(  637): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 23:20:50.236 V/DigitalSignage(  637): Package Name: null
06-12 23:20:50.236 V/DigitalSignage(  637): Left: 0
06-12 23:20:50.236 V/DigitalSignage(  637): Right: 0
06-12 23:20:50.236 V/DigitalSignage(  637): Top: 0
