--------- beginning of kernel
06-12 16:33:40.389 E/[ 6295.741928@1]  selinux(    0): SELinux:  Could not stat /sys/kernel/dmabuf/buffers/1457966/attachments: No such file or directory.
06-12 16:33:40.389 E/[ 6295.741946@1]  selinux(    0):  
06-12 16:33:40.389 E/[ 6295.745638@1]  selinux(    0): SELinux:  Could not stat /sys/kernel/dmabuf/buffers/1457968/attachments: No such file or directory.
06-12 16:33:40.389 E/[ 6295.745654@1]  selinux(    0):  
06-12 16:33:40.565 D/[ 6295.919357@3]  logd(    0): logdr: UID=0 GID=0 PID=8154 b tail=0 logMask=99 pid=0 start=0ns timeout=0ns
06-12 16:33:40.571 D/[ 6295.928255@1]  logd(    0): Skipping 4294967295 entries from slow reader, pid 8154, from LogBuffer::kickMe()
--------- beginning of crash
06-12 16:33:40.707 F/linker  ( 8164): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:33:40.826 D/CompatibilityChangeReporter(  632): Compat change id reported: 143937733; UID 10072; state: ENABLED
06-12 16:33:40.873 V/DigitalSignage(  632): Package Name: null
06-12 16:33:40.873 V/DigitalSignage(  632): Left: 0
06-12 16:33:40.873 V/DigitalSignage(  632): Right: 0
06-12 16:33:40.873 V/DigitalSignage(  632): Top: 0
06-12 16:33:40.873 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:40.873 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:40.899 W/ActivityManager(  632): Slow operation: 78ms so far, now at startProcess: returned from zygote!
06-12 16:33:40.899 W/ActivityManager(  632): Slow operation: 78ms so far, now at startProcess: done updating battery stats
06-12 16:33:40.899 W/ActivityManager(  632): Slow operation: 78ms so far, now at startProcess: building log message
06-12 16:33:40.899 I/ActivityManager(  632): Start proc 8170:in.startv.hotstar/u0a72 for pre-top-activity {in.startv.hotstar/com.hotstar.MainActivity}
06-12 16:33:40.899 W/ActivityManager(  632): Slow operation: 78ms so far, now at startProcess: starting to update pids map
06-12 16:33:40.909 W/ActivityManager(  632): Slow operation: 88ms so far, now at startProcess: done updating pids map
06-12 16:33:40.915 V/DigitalSignage(  632): Package Name: null
06-12 16:33:40.915 V/DigitalSignage(  632): Left: 0
06-12 16:33:40.915 V/DigitalSignage(  632): Right: 0
06-12 16:33:40.915 V/DigitalSignage(  632): Top: 0
06-12 16:33:40.915 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:40.915 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:40.958 D/ActivityTaskManager(  632): JioHomeManagerService :: ActivityRecord :: setState :: StateFrom :: INITIALIZING StateTo :: RESUMED 
06-12 16:33:40.977 V/DigitalSignage(  632): Package Name: null
06-12 16:33:40.977 V/DigitalSignage(  632): Left: 0
06-12 16:33:40.977 V/DigitalSignage(  632): Right: 0
06-12 16:33:40.977 V/DigitalSignage(  632): Top: 0
06-12 16:33:40.977 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:40.977 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:40.985 D/ActivityManager(  632): JioHomeManagerService :: StateFrom :: INITIALIZING StateTo :: RESUMED Activity :: in.startv.hotstar/com.hotstar.MainActivity Action :: com.jio.remote.action.applaunch
06-12 16:33:40.987 V/DigitalSignage(  632): Package Name: null
06-12 16:33:40.988 V/DigitalSignage(  632): Left: 0
06-12 16:33:40.988 V/DigitalSignage(  632): Right: 0
06-12 16:33:40.988 V/DigitalSignage(  632): Top: 0
06-12 16:33:40.988 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:40.988 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:41.375 V/DigitalSignage(  632): Package Name: null
06-12 16:33:41.376 V/DigitalSignage(  632): Left: 0
06-12 16:33:41.376 V/DigitalSignage(  632): Right: 0
06-12 16:33:41.376 V/DigitalSignage(  632): Top: 0
06-12 16:33:41.376 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:41.376 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:41.425 V/DigitalSignage(  632): Package Name: null
06-12 16:33:41.425 V/DigitalSignage(  632): Left: 0
06-12 16:33:41.425 V/DigitalSignage(  632): Right: 0
06-12 16:33:41.425 V/DigitalSignage(  632): Top: 0
06-12 16:33:41.425 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:41.426 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:41.705 D/ConnectivityService(  632): NetReassign [no changes]
06-12 16:33:42.245 V/DigitalSignage(  632): Package Name: null
06-12 16:33:42.245 V/DigitalSignage(  632): Left: 0
06-12 16:33:42.245 V/DigitalSignage(  632): Right: 0
06-12 16:33:42.245 V/DigitalSignage(  632): Top: 0
06-12 16:33:42.245 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:42.245 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:42.246 V/DigitalSignage(  632): Package Name: null
06-12 16:33:42.246 V/DigitalSignage(  632): Left: 0
06-12 16:33:42.246 V/DigitalSignage(  632): Right: 0
06-12 16:33:42.246 V/DigitalSignage(  632): Top: 0
06-12 16:33:42.246 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:42.246 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:42.343 V/DigitalSignage(  632): Package Name: null
06-12 16:33:42.344 V/DigitalSignage(  632): Left: 0
06-12 16:33:42.344 V/DigitalSignage(  632): Right: 0
06-12 16:33:42.344 V/DigitalSignage(  632): Top: 0
06-12 16:33:42.344 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:42.344 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:42.345 V/DigitalSignage(  632): Package Name: null
06-12 16:33:42.345 V/DigitalSignage(  632): Left: 0
06-12 16:33:42.345 V/DigitalSignage(  632): Right: 0
06-12 16:33:42.345 V/DigitalSignage(  632): Top: 0
06-12 16:33:42.345 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:42.345 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:42.348 V/DigitalSignage(  632): Package Name: null
06-12 16:33:42.348 V/DigitalSignage(  632): Left: 0
06-12 16:33:42.348 V/DigitalSignage(  632): Right: 0
06-12 16:33:42.348 V/DigitalSignage(  632): Top: 0
06-12 16:33:42.349 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:42.349 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:42.349 V/DigitalSignage(  632): Package Name: null
06-12 16:33:42.349 V/DigitalSignage(  632): Left: 0
06-12 16:33:42.349 V/DigitalSignage(  632): Right: 0
06-12 16:33:42.349 V/DigitalSignage(  632): Top: 0
06-12 16:33:42.349 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:42.350 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:42.412 V/DigitalSignage(  632): Package Name: null
06-12 16:33:42.412 V/DigitalSignage(  632): Left: 0
06-12 16:33:42.412 V/DigitalSignage(  632): Right: 0
06-12 16:33:42.412 V/DigitalSignage(  632): Top: 0
06-12 16:33:42.412 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:42.413 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:42.413 V/DigitalSignage(  632): Package Name: null
06-12 16:33:42.413 V/DigitalSignage(  632): Left: 0
06-12 16:33:42.413 V/DigitalSignage(  632): Right: 0
06-12 16:33:42.413 V/DigitalSignage(  632): Top: 0
06-12 16:33:42.413 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:42.413 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:42.463 V/DigitalSignage(  632): Package Name: null
06-12 16:33:42.463 V/DigitalSignage(  632): Left: 0
06-12 16:33:42.463 V/DigitalSignage(  632): Right: 0
06-12 16:33:42.463 V/DigitalSignage(  632): Top: 0
06-12 16:33:42.463 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:42.463 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:42.463 V/DigitalSignage(  632): Package Name: null
06-12 16:33:42.463 V/DigitalSignage(  632): Left: 0
06-12 16:33:42.463 V/DigitalSignage(  632): Right: 0
06-12 16:33:42.463 V/DigitalSignage(  632): Top: 0
06-12 16:33:42.463 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:42.463 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:42.569 D/CompatibilityChangeReporter(  632): Compat change id reported: 136274596; UID 10072; state: ENABLED
06-12 16:33:42.589 V/DigitalSignage(  632): Package Name: null
06-12 16:33:42.589 V/DigitalSignage(  632): Left: 0
06-12 16:33:42.589 V/DigitalSignage(  632): Right: 0
06-12 16:33:42.589 V/DigitalSignage(  632): Top: 0
06-12 16:33:42.589 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:42.589 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:42.605 V/DigitalSignage(  632): Package Name: null
06-12 16:33:42.605 V/DigitalSignage(  632): Left: 0
06-12 16:33:42.605 V/DigitalSignage(  632): Right: 0
06-12 16:33:42.605 V/DigitalSignage(  632): Top: 0
06-12 16:33:42.605 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:42.605 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:43.272 W/[ 6298.628013@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1142
06-12 16:33:44.396 E/TaskPersister(  632): File error accessing recents directory (directory doesn't exist?).
06-12 16:33:45.717 F/linker  ( 8340): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:33:46.193 V/DigitalSignage(  632): Package Name: null
06-12 16:33:46.193 V/DigitalSignage(  632): Left: 0
06-12 16:33:46.193 V/DigitalSignage(  632): Right: 0
06-12 16:33:46.193 V/DigitalSignage(  632): Top: 0
06-12 16:33:46.193 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:46.193 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:48.421 W/[ 6303.777788@3]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2426
06-12 16:33:50.617 V/DigitalSignage(  632): Package Name: null
06-12 16:33:50.617 V/DigitalSignage(  632): Left: 0
06-12 16:33:50.617 V/DigitalSignage(  632): Right: 0
06-12 16:33:50.617 V/DigitalSignage(  632): Top: 0
06-12 16:33:50.617 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:50.617 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:50.663 V/DigitalSignage(  632): Package Name: null
06-12 16:33:50.663 V/DigitalSignage(  632): Left: 0
06-12 16:33:50.663 V/DigitalSignage(  632): Right: 0
06-12 16:33:50.663 V/DigitalSignage(  632): Top: 0
06-12 16:33:50.663 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:50.663 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:50.807 F/linker  ( 8366): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:33:52.453 D/AutofillManagerService(  632): onBackKeyPressed()
06-12 16:33:53.515 W/[ 6308.871691@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3529
06-12 16:33:54.884 V/DigitalSignage(  632): Package Name: null
06-12 16:33:54.885 V/DigitalSignage(  632): Left: 0
06-12 16:33:54.885 V/DigitalSignage(  632): Right: 0
06-12 16:33:54.885 V/DigitalSignage(  632): Top: 0
06-12 16:33:54.885 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:54.885 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:55.241 V/DigitalSignage(  632): Package Name: null
06-12 16:33:55.241 V/DigitalSignage(  632): Left: 0
06-12 16:33:55.241 V/DigitalSignage(  632): Right: 0
06-12 16:33:55.241 V/DigitalSignage(  632): Top: 0
06-12 16:33:55.241 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:55.241 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:55.759 F/linker  ( 8403): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:33:56.414 V/DigitalSignage(  632): Package Name: null
06-12 16:33:56.414 V/DigitalSignage(  632): Left: 0
06-12 16:33:56.414 V/DigitalSignage(  632): Right: 0
06-12 16:33:56.414 V/DigitalSignage(  632): Top: 0
06-12 16:33:56.414 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:56.414 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:56.423 V/DigitalSignage(  632): Package Name: null
06-12 16:33:56.423 V/DigitalSignage(  632): Left: 0
06-12 16:33:56.423 V/DigitalSignage(  632): Right: 0
06-12 16:33:56.423 V/DigitalSignage(  632): Top: 0
06-12 16:33:56.423 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:56.424 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:56.424 V/DigitalSignage(  632): Package Name: null
06-12 16:33:56.424 V/DigitalSignage(  632): Left: 0
06-12 16:33:56.424 V/DigitalSignage(  632): Right: 0
06-12 16:33:56.424 V/DigitalSignage(  632): Top: 0
06-12 16:33:56.424 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:56.424 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:56.457 V/DigitalSignage(  632): Package Name: null
06-12 16:33:56.457 V/DigitalSignage(  632): Left: 0
06-12 16:33:56.457 V/DigitalSignage(  632): Right: 0
06-12 16:33:56.457 V/DigitalSignage(  632): Top: 0
06-12 16:33:56.457 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:56.458 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:56.458 V/DigitalSignage(  632): Package Name: null
06-12 16:33:56.458 V/DigitalSignage(  632): Left: 0
06-12 16:33:56.458 V/DigitalSignage(  632): Right: 0
06-12 16:33:56.458 V/DigitalSignage(  632): Top: 0
06-12 16:33:56.458 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:56.458 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:56.481 V/DigitalSignage(  632): Package Name: null
06-12 16:33:56.481 V/DigitalSignage(  632): Left: 0
06-12 16:33:56.481 V/DigitalSignage(  632): Right: 0
06-12 16:33:56.481 V/DigitalSignage(  632): Top: 0
06-12 16:33:56.481 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:56.482 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:56.482 V/DigitalSignage(  632): Package Name: null
06-12 16:33:56.482 V/DigitalSignage(  632): Left: 0
06-12 16:33:56.482 V/DigitalSignage(  632): Right: 0
06-12 16:33:56.482 V/DigitalSignage(  632): Top: 0
06-12 16:33:56.482 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:56.482 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:56.498 V/DigitalSignage(  632): Package Name: null
06-12 16:33:56.498 V/DigitalSignage(  632): Left: 0
06-12 16:33:56.498 V/DigitalSignage(  632): Right: 0
06-12 16:33:56.498 V/DigitalSignage(  632): Top: 0
06-12 16:33:56.498 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:56.498 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:56.498 V/DigitalSignage(  632): Package Name: null
06-12 16:33:56.498 V/DigitalSignage(  632): Left: 0
06-12 16:33:56.498 V/DigitalSignage(  632): Right: 0
06-12 16:33:56.498 V/DigitalSignage(  632): Top: 0
06-12 16:33:56.498 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:56.498 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:56.549 V/DigitalSignage(  632): Package Name: null
06-12 16:33:56.550 V/DigitalSignage(  632): Left: 0
06-12 16:33:56.550 V/DigitalSignage(  632): Right: 0
06-12 16:33:56.550 V/DigitalSignage(  632): Top: 0
06-12 16:33:56.550 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:56.550 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:56.551 V/DigitalSignage(  632): Package Name: null
06-12 16:33:56.551 V/DigitalSignage(  632): Left: 0
06-12 16:33:56.551 V/DigitalSignage(  632): Right: 0
06-12 16:33:56.551 V/DigitalSignage(  632): Top: 0
06-12 16:33:56.551 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:56.552 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:56.555 V/DigitalSignage(  632): Package Name: null
06-12 16:33:56.555 V/DigitalSignage(  632): Left: 0
06-12 16:33:56.555 V/DigitalSignage(  632): Right: 0
06-12 16:33:56.555 V/DigitalSignage(  632): Top: 0
06-12 16:33:56.555 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:56.555 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:56.555 V/DigitalSignage(  632): Package Name: null
06-12 16:33:56.555 V/DigitalSignage(  632): Left: 0
06-12 16:33:56.555 V/DigitalSignage(  632): Right: 0
06-12 16:33:56.555 V/DigitalSignage(  632): Top: 0
06-12 16:33:56.555 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:56.556 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:57.667 V/DigitalSignage(  632): Package Name: null
06-12 16:33:57.667 V/DigitalSignage(  632): Left: 0
06-12 16:33:57.667 V/DigitalSignage(  632): Right: 0
06-12 16:33:57.667 V/DigitalSignage(  632): Top: 0
06-12 16:33:57.667 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:57.668 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:57.668 V/DigitalSignage(  632): Package Name: null
06-12 16:33:57.668 V/DigitalSignage(  632): Left: 0
06-12 16:33:57.668 V/DigitalSignage(  632): Right: 0
06-12 16:33:57.668 V/DigitalSignage(  632): Top: 0
06-12 16:33:57.668 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:57.668 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:57.956 V/DigitalSignage(  632): Package Name: null
06-12 16:33:57.956 V/DigitalSignage(  632): Left: 0
06-12 16:33:57.956 V/DigitalSignage(  632): Right: 0
06-12 16:33:57.956 V/DigitalSignage(  632): Top: 0
06-12 16:33:57.956 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:57.956 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:57.956 V/DigitalSignage(  632): Package Name: null
06-12 16:33:57.956 V/DigitalSignage(  632): Left: 0
06-12 16:33:57.956 V/DigitalSignage(  632): Right: 0
06-12 16:33:57.956 V/DigitalSignage(  632): Top: 0
06-12 16:33:57.956 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:57.956 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:58.600 W/[ 6313.956179@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 847
06-12 16:33:58.711 D/AutofillManagerService(  632): onBackKeyPressed()
06-12 16:33:58.726 V/DigitalSignage(  632): Package Name: null
06-12 16:33:58.726 V/DigitalSignage(  632): Left: 0
06-12 16:33:58.726 V/DigitalSignage(  632): Right: 0
06-12 16:33:58.726 V/DigitalSignage(  632): Top: 0
06-12 16:33:58.726 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:58.726 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:58.726 V/DigitalSignage(  632): Package Name: null
06-12 16:33:58.726 V/DigitalSignage(  632): Left: 0
06-12 16:33:58.726 V/DigitalSignage(  632): Right: 0
06-12 16:33:58.726 V/DigitalSignage(  632): Top: 0
06-12 16:33:58.726 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:58.726 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:58.749 V/DigitalSignage(  632): Package Name: null
06-12 16:33:58.749 V/DigitalSignage(  632): Left: 0
06-12 16:33:58.749 V/DigitalSignage(  632): Right: 0
06-12 16:33:58.749 V/DigitalSignage(  632): Top: 0
06-12 16:33:58.749 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:58.750 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:58.750 V/DigitalSignage(  632): Package Name: null
06-12 16:33:58.750 V/DigitalSignage(  632): Left: 0
06-12 16:33:58.750 V/DigitalSignage(  632): Right: 0
06-12 16:33:58.750 V/DigitalSignage(  632): Top: 0
06-12 16:33:58.750 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:58.750 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:58.755 V/DigitalSignage(  632): Package Name: null
06-12 16:33:58.755 V/DigitalSignage(  632): Left: 0
06-12 16:33:58.755 V/DigitalSignage(  632): Right: 0
06-12 16:33:58.756 V/DigitalSignage(  632): Top: 0
06-12 16:33:58.756 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:58.756 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:58.756 V/DigitalSignage(  632): Package Name: null
06-12 16:33:58.756 V/DigitalSignage(  632): Left: 0
06-12 16:33:58.756 V/DigitalSignage(  632): Right: 0
06-12 16:33:58.756 V/DigitalSignage(  632): Top: 0
06-12 16:33:58.756 V/DigitalSignage(  632): Bottom: 0
06-12 16:33:58.756 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:33:58.960 V/DigitalSignage(  632): Package Name: null
