--------- beginning of crash
06-12 10:55:22.974 F/linker  (18505): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 10:55:38.922 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:38.922 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:39.057 V/DigitalSignage(  628): Package Name: null
06-12 10:55:39.057 V/DigitalSignage(  628): Left: 0
06-12 10:55:39.057 V/DigitalSignage(  628): Right: 0
06-12 10:55:39.057 V/DigitalSignage(  628): Top: 0
06-12 10:55:39.057 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:39.057 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:39.060 V/DigitalSignage(  628): Package Name: null
06-12 10:55:39.060 V/DigitalSignage(  628): Left: 0
06-12 10:55:39.060 V/DigitalSignage(  628): Right: 0
06-12 10:55:39.060 V/DigitalSignage(  628): Top: 0
06-12 10:55:39.060 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:39.061 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:39.214 I/WindowManager(  628): WIN DEATH: Window{41d31ad u0 com.jio.stb.screensaver/android.service.dreams.DreamActivity}
06-12 10:55:39.215 I/ActivityManager(  628): Process com.jio.stb.screensaver (pid 18370) has died: vis BFGS
06-12 10:55:39.215 I/DreamController(  628): Stopping dream: name=ComponentInfo{com.jio.stb.screensaver/com.jio.halotv.ui.screensaver.DreamActivity}, isTest=false, canDoze=false, userId=0, reason='binder died'
06-12 10:55:39.223 V/DigitalSignage(  628): Package Name: null
06-12 10:55:39.223 V/DigitalSignage(  628): Left: 0
06-12 10:55:39.223 V/DigitalSignage(  628): Right: 0
06-12 10:55:39.223 V/DigitalSignage(  628): Top: 0
06-12 10:55:39.223 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:39.224 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:39.228 W/ActivityManager(  628): Scheduling restart of crashed service com.jio.stb.screensaver/com.jio.halotv.ui.screensaver.DreamActivity in 1000ms for connection
06-12 10:55:39.229 W/WindowManager(  628): Cannot find window which accessibility connection is added to
06-12 10:55:39.245 W/ActivityManager(  628): setHasOverlayUi called on unknown pid: 18370
06-12 10:55:39.977 W/[ 3129.564829@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2693
06-12 10:55:39.990 W/[ 3129.578601@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2700
06-12 10:55:41.968 V/DigitalSignage(  628): Package Name: null
06-12 10:55:41.968 V/DigitalSignage(  628): Left: 0
06-12 10:55:41.968 V/DigitalSignage(  628): Right: 0
06-12 10:55:41.968 V/DigitalSignage(  628): Top: 0
06-12 10:55:41.968 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:41.969 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:42.988 F/linker  (18761): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 10:55:44.150 W/SocketClient(  324): write error (Broken pipe)
06-12 10:55:44.411 I/PowerManagerService(  628): Waking up from Dreaming (uid=1000, reason=WAKE_REASON_UNKNOWN, details=android.server.power:DREAM_FINISHED)...
06-12 10:55:44.412 I/PowerManagerService(  628): force-suspend persist.sys.power.key.action,mPowerKeyAction=-1
06-12 10:55:44.589 W/[ 3134.177161@3]  audit(    0): audit_lost=3308 audit_rate_limit=5 audit_backlog_limit=64
06-12 10:55:44.589 E/[ 3134.177169@3]  audit(    0): rate limit exceeded
06-12 10:55:45.254 W/[ 3134.843087@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3763
06-12 10:55:45.701 W/[ 3135.290474@3]  audit(    0): audit_lost=3426 audit_rate_limit=5 audit_backlog_limit=64
06-12 10:55:45.702 E/[ 3135.290485@3]  audit(    0): rate limit exceeded
06-12 10:55:46.363 V/DigitalSignage(  628): Package Name: null
06-12 10:55:46.363 V/DigitalSignage(  628): Left: 0
06-12 10:55:46.363 V/DigitalSignage(  628): Right: 0
06-12 10:55:46.363 V/DigitalSignage(  628): Top: 0
06-12 10:55:46.363 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:46.363 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:46.397 V/DigitalSignage(  628): Package Name: null
06-12 10:55:46.397 V/DigitalSignage(  628): Left: 0
06-12 10:55:46.397 V/DigitalSignage(  628): Right: 0
06-12 10:55:46.398 V/DigitalSignage(  628): Top: 0
06-12 10:55:46.398 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:46.398 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:47.786 D/AutofillManagerService(  628): onBackKeyPressed()
06-12 10:55:47.993 F/linker  (18782): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 10:55:48.423 W/[ 3138.012961@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 140
06-12 10:55:50.030 W/[ 3139.619829@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 712
06-12 10:55:50.033 V/DigitalSignage(  628): Package Name: null
06-12 10:55:50.033 V/DigitalSignage(  628): Left: 0
06-12 10:55:50.033 V/DigitalSignage(  628): Right: 0
06-12 10:55:50.033 V/DigitalSignage(  628): Top: 0
06-12 10:55:50.033 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:50.033 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:50.427 V/DigitalSignage(  628): Package Name: null
06-12 10:55:50.428 V/DigitalSignage(  628): Left: 0
06-12 10:55:50.428 V/DigitalSignage(  628): Right: 0
06-12 10:55:50.428 V/DigitalSignage(  628): Top: 0
06-12 10:55:50.428 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:50.428 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:51.992 V/DigitalSignage(  628): Package Name: null
06-12 10:55:51.992 V/DigitalSignage(  628): Left: 0
06-12 10:55:51.992 V/DigitalSignage(  628): Right: 0
06-12 10:55:51.992 V/DigitalSignage(  628): Top: 0
06-12 10:55:51.992 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:51.992 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:51.992 V/DigitalSignage(  628): Package Name: null
06-12 10:55:51.992 V/DigitalSignage(  628): Left: 0
06-12 10:55:51.992 V/DigitalSignage(  628): Right: 0
06-12 10:55:51.992 V/DigitalSignage(  628): Top: 0
06-12 10:55:51.992 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:51.993 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.110 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.110 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.110 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.110 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.111 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.111 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.111 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.111 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.111 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.111 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.111 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.111 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.311 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.311 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.311 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.311 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.311 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.311 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.311 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.312 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.312 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.312 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.312 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.312 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.349 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.350 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.350 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.350 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.350 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.350 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.350 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.350 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.350 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.350 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.350 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.350 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.362 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.362 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.362 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.362 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.362 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.362 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.362 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.362 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.362 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.362 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.362 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.363 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.372 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.372 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.372 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.372 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.372 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.372 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.372 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.372 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.372 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.372 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.372 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.372 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.408 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.408 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.408 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.408 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.408 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.408 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.408 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.408 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.408 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.408 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.408 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.408 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.431 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.431 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.431 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.431 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.431 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.431 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.431 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.431 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.431 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.431 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.431 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.432 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.436 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.436 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.436 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.436 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.436 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.444 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.444 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.444 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.444 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.444 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.444 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.444 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.473 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.473 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.473 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.473 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.473 V/DigitalSignage(  628): Bottom: 0
06-12 10:55:52.473 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 10:55:52.473 V/DigitalSignage(  628): Package Name: null
06-12 10:55:52.473 V/DigitalSignage(  628): Left: 0
06-12 10:55:52.473 V/DigitalSignage(  628): Right: 0
06-12 10:55:52.474 V/DigitalSignage(  628): Top: 0
06-12 10:55:52.474 V/DigitalSignage(  628): Bottom: 0
