--------- beginning of kernel
06-12 11:11:27.829 W/[ 4077.418805@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 14
06-12 11:11:28.690 D/[ 4078.276862@3]  logd(    0): logdr: UID=0 GID=0 PID=23330 b tail=0 logMask=99 pid=0 start=0ns timeout=0ns
06-12 11:11:28.690 D/[ 4078.278456@2]  logd(    0): Skipping 4294967295 entries from slow reader, pid 23330, from LogBuffer::kickMe()
--------- beginning of system
06-12 11:11:28.858 I/ActivityTaskManager(  628): START u0 {flg=0x10000000 cmp=in.startv.hotstar/com.hotstar.MainActivity} from uid 0
06-12 11:11:29.374 V/DigitalSignage(  628): Top: 0
06-12 11:11:29.375 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:29.375 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:29.405 V/DigitalSignage(  628): Package Name: null
06-12 11:11:29.405 V/DigitalSignage(  628): Left: 0
06-12 11:11:29.405 V/DigitalSignage(  628): Right: 0
06-12 11:11:29.405 V/DigitalSignage(  628): Top: 0
06-12 11:11:29.405 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:29.409 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:29.481 W/[ 4079.068874@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 759
06-12 11:11:29.751 W/SocketClient(  324): write error (Broken pipe)
06-12 11:11:29.850 V/DigitalSignage(  628): Package Name: null
06-12 11:11:29.850 V/DigitalSignage(  628): Left: 0
06-12 11:11:29.850 V/DigitalSignage(  628): Right: 0
06-12 11:11:29.850 V/DigitalSignage(  628): Top: 0
06-12 11:11:29.850 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:29.850 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:29.850 V/DigitalSignage(  628): Package Name: null
06-12 11:11:29.850 V/DigitalSignage(  628): Left: 0
06-12 11:11:29.850 V/DigitalSignage(  628): Right: 0
06-12 11:11:29.850 V/DigitalSignage(  628): Top: 0
06-12 11:11:29.850 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:29.851 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:29.939 V/DigitalSignage(  628): Package Name: null
06-12 11:11:29.939 V/DigitalSignage(  628): Left: 0
06-12 11:11:29.939 V/DigitalSignage(  628): Right: 0
06-12 11:11:29.939 V/DigitalSignage(  628): Top: 0
06-12 11:11:29.939 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:29.939 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:29.939 V/DigitalSignage(  628): Package Name: null
06-12 11:11:29.939 V/DigitalSignage(  628): Left: 0
06-12 11:11:29.939 V/DigitalSignage(  628): Right: 0
06-12 11:11:29.939 V/DigitalSignage(  628): Top: 0
06-12 11:11:29.939 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:29.940 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:29.944 V/DigitalSignage(  628): Package Name: null
06-12 11:11:29.944 V/DigitalSignage(  628): Left: 0
06-12 11:11:29.944 V/DigitalSignage(  628): Right: 0
06-12 11:11:29.944 V/DigitalSignage(  628): Top: 0
06-12 11:11:29.944 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:29.944 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:29.944 V/DigitalSignage(  628): Package Name: null
06-12 11:11:29.944 V/DigitalSignage(  628): Left: 0
06-12 11:11:29.944 V/DigitalSignage(  628): Right: 0
06-12 11:11:29.944 V/DigitalSignage(  628): Top: 0
06-12 11:11:29.944 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:29.944 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:29.991 V/DigitalSignage(  628): Package Name: null
06-12 11:11:29.992 V/DigitalSignage(  628): Left: 0
06-12 11:11:29.992 V/DigitalSignage(  628): Right: 0
06-12 11:11:29.992 V/DigitalSignage(  628): Top: 0
06-12 11:11:29.992 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:29.992 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:29.992 V/DigitalSignage(  628): Package Name: null
06-12 11:11:29.992 V/DigitalSignage(  628): Left: 0
06-12 11:11:29.992 V/DigitalSignage(  628): Right: 0
06-12 11:11:29.992 V/DigitalSignage(  628): Top: 0
06-12 11:11:29.992 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:29.992 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:29.994 W/[ 4079.580861@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 926
06-12 11:11:30.090 V/DigitalSignage(  628): Package Name: null
06-12 11:11:30.090 V/DigitalSignage(  628): Left: 0
06-12 11:11:30.090 V/DigitalSignage(  628): Right: 0
06-12 11:11:30.090 V/DigitalSignage(  628): Top: 0
06-12 11:11:30.090 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:30.091 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:30.091 V/DigitalSignage(  628): Package Name: null
06-12 11:11:30.091 V/DigitalSignage(  628): Left: 0
06-12 11:11:30.091 V/DigitalSignage(  628): Right: 0
06-12 11:11:30.091 V/DigitalSignage(  628): Top: 0
06-12 11:11:30.091 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:30.091 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:30.158 V/DigitalSignage(  628): Package Name: null
06-12 11:11:30.158 V/DigitalSignage(  628): Left: 0
06-12 11:11:30.158 V/DigitalSignage(  628): Right: 0
06-12 11:11:30.158 V/DigitalSignage(  628): Top: 0
06-12 11:11:30.158 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:30.158 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:30.174 V/DigitalSignage(  628): Package Name: null
06-12 11:11:30.174 V/DigitalSignage(  628): Left: 0
06-12 11:11:30.174 V/DigitalSignage(  628): Right: 0
06-12 11:11:30.174 V/DigitalSignage(  628): Top: 0
06-12 11:11:30.174 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:30.174 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:30.189 D/CompatibilityChangeReporter(  628): Compat change id reported: 136274596; UID 10072; state: ENABLED
06-12 11:11:31.851 D/PackageManager(  628): Instant App installer not found with android.intent.action.INSTALL_INSTANT_APP_PACKAGE
06-12 11:11:31.851 D/PackageManager(  628): Clear ephemeral installer activity
06-12 11:11:32.876 I/AppsFilter(  628): interaction: PackageSetting{21f4530 io.appium.uiautomator2.server.test/10095} -> PackageSetting{1884028 in.startv.hotstar/10072} BLOCKED
06-12 11:11:32.876 I/AppsFilter(  628): interaction: PackageSetting{aae572e com.omni.simplesetup/10026} -> PackageSetting{1884028 in.startv.hotstar/10072} BLOCKED
06-12 11:11:32.876 I/AppsFilter(  628): interaction: PackageSetting{65f52cf io.appium.settings/10094} -> PackageSetting{1884028 in.startv.hotstar/10072} BLOCKED
06-12 11:11:32.882 I/RoleManagerService(  628): Granting default roles...
06-12 11:11:32.965 W/[ 4082.555419@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1729
06-12 11:11:32.993 E/TaskPersister(  628): File error accessing recents directory (directory doesn't exist?).
06-12 11:11:33.735 V/DigitalSignage(  628): Package Name: null
06-12 11:11:33.735 V/DigitalSignage(  628): Left: 0
06-12 11:11:33.735 V/DigitalSignage(  628): Right: 0
06-12 11:11:33.735 V/DigitalSignage(  628): Top: 0
06-12 11:11:33.735 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:33.735 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:33.970 F/linker  (23489): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 11:11:36.905 W/[ 4086.492922@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2695
06-12 11:11:38.107 W/[ 4087.696627@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2881
06-12 11:11:38.147 V/DigitalSignage(  628): Package Name: null
06-12 11:11:38.147 V/DigitalSignage(  628): Left: 0
06-12 11:11:38.147 V/DigitalSignage(  628): Right: 0
06-12 11:11:38.147 V/DigitalSignage(  628): Top: 0
06-12 11:11:38.147 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:38.147 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:38.174 V/DigitalSignage(  628): Package Name: null
06-12 11:11:38.174 V/DigitalSignage(  628): Left: 0
06-12 11:11:38.174 V/DigitalSignage(  628): Right: 0
06-12 11:11:38.174 V/DigitalSignage(  628): Top: 0
06-12 11:11:38.174 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:38.174 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:38.971 F/linker  (23519): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 11:11:39.636 D/AutofillManagerService(  628): onBackKeyPressed()
06-12 11:11:42.100 V/DigitalSignage(  628): Package Name: null
06-12 11:11:42.100 V/DigitalSignage(  628): Left: 0
06-12 11:11:42.100 V/DigitalSignage(  628): Right: 0
06-12 11:11:42.100 V/DigitalSignage(  628): Top: 0
06-12 11:11:42.100 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:42.100 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:42.564 V/DigitalSignage(  628): Package Name: null
06-12 11:11:42.564 V/DigitalSignage(  628): Left: 0
06-12 11:11:42.564 V/DigitalSignage(  628): Right: 0
06-12 11:11:42.564 V/DigitalSignage(  628): Top: 0
06-12 11:11:42.564 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:42.564 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:42.793 W/[ 4092.380910@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 4035
06-12 11:11:42.841 W/[ 4092.431279@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 4056
06-12 11:11:43.794 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.794 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.794 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.794 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.794 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.794 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:43.802 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.802 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.802 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.802 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.802 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.803 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:43.803 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.803 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.803 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.803 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.803 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.803 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:43.830 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.830 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.830 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.830 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.830 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.830 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:43.830 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.830 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.830 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.830 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.830 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.830 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:43.842 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.843 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.843 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.843 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.843 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.843 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:43.843 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.843 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.843 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.843 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.843 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.843 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:43.852 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.852 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.852 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.852 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.852 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.852 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:43.853 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.853 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.853 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.853 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.853 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.853 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:43.861 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.861 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.862 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.862 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.862 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.862 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:43.862 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.862 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.862 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.862 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.862 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.863 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:43.910 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.910 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.910 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.910 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.910 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.910 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:43.910 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.910 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.910 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.910 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.911 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.911 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:43.979 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.979 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.979 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.979 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.979 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.982 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:43.983 V/DigitalSignage(  628): Package Name: null
06-12 11:11:43.983 V/DigitalSignage(  628): Left: 0
06-12 11:11:43.983 V/DigitalSignage(  628): Right: 0
06-12 11:11:43.983 V/DigitalSignage(  628): Top: 0
06-12 11:11:43.983 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:43.983 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:44.013 F/linker  (23564): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 11:11:44.016 V/DigitalSignage(  628): Package Name: null
06-12 11:11:44.016 V/DigitalSignage(  628): Left: 0
06-12 11:11:44.016 V/DigitalSignage(  628): Right: 0
06-12 11:11:44.016 V/DigitalSignage(  628): Top: 0
06-12 11:11:44.016 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:44.016 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:44.017 V/DigitalSignage(  628): Package Name: null
06-12 11:11:44.017 V/DigitalSignage(  628): Left: 0
06-12 11:11:44.017 V/DigitalSignage(  628): Right: 0
06-12 11:11:44.017 V/DigitalSignage(  628): Top: 0
06-12 11:11:44.017 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:44.017 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:44.073 W/[ 4093.660987@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 266
06-12 11:11:45.108 V/DigitalSignage(  628): Package Name: null
06-12 11:11:45.108 V/DigitalSignage(  628): Left: 0
06-12 11:11:45.108 V/DigitalSignage(  628): Right: 0
06-12 11:11:45.108 V/DigitalSignage(  628): Top: 0
06-12 11:11:45.108 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:45.109 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:45.109 V/DigitalSignage(  628): Package Name: null
06-12 11:11:45.109 V/DigitalSignage(  628): Left: 0
06-12 11:11:45.109 V/DigitalSignage(  628): Right: 0
06-12 11:11:45.109 V/DigitalSignage(  628): Top: 0
06-12 11:11:45.109 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:45.109 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:45.407 V/DigitalSignage(  628): Package Name: null
06-12 11:11:45.407 V/DigitalSignage(  628): Left: 0
06-12 11:11:45.407 V/DigitalSignage(  628): Right: 0
06-12 11:11:45.407 V/DigitalSignage(  628): Top: 0
06-12 11:11:45.407 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:45.407 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:45.407 V/DigitalSignage(  628): Package Name: null
06-12 11:11:45.407 V/DigitalSignage(  628): Left: 0
06-12 11:11:45.408 V/DigitalSignage(  628): Right: 0
06-12 11:11:45.408 V/DigitalSignage(  628): Top: 0
06-12 11:11:45.408 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:45.408 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:46.177 D/AutofillManagerService(  628): onBackKeyPressed()
06-12 11:11:46.186 V/DigitalSignage(  628): Package Name: null
06-12 11:11:46.193 V/DigitalSignage(  628): Left: 0
06-12 11:11:46.193 V/DigitalSignage(  628): Right: 0
06-12 11:11:46.193 V/DigitalSignage(  628): Top: 0
06-12 11:11:46.193 V/DigitalSignage(  628): Bottom: 0
06-12 11:11:46.193 D/DigitalSignage(  628): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 11:11:46.197 V/DigitalSignage(  628): Package Name: null
06-12 11:11:46.197 V/DigitalSignage(  628): Left: 0
06-12 11:11:46.197 V/DigitalSignage(  628): Right: 0
06-12 11:11:46.197 V/DigitalSignage(  628): Top: 0
