--------- beginning of crash
06-12 16:55:37.164 F/linker  (13997): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:55:39.092 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:39.092 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:39.149 D/ActivityTaskManager(  632): JioHomeManagerService :: ActivityRecord :: setState :: StateFrom :: INITIALIZING StateTo :: RESUMED 
06-12 16:55:39.159 V/DigitalSignage(  632): Package Name: null
06-12 16:55:39.159 V/DigitalSignage(  632): Left: 0
06-12 16:55:39.159 V/DigitalSignage(  632): Right: 0
06-12 16:55:39.159 V/DigitalSignage(  632): Top: 0
06-12 16:55:39.159 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:39.159 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:39.175 V/DigitalSignage(  632): Package Name: null
06-12 16:55:39.175 V/DigitalSignage(  632): Left: 0
06-12 16:55:39.175 V/DigitalSignage(  632): Right: 0
06-12 16:55:39.175 V/DigitalSignage(  632): Top: 0
06-12 16:55:39.175 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:39.175 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:39.180 D/ActivityManager(  632): JioHomeManagerService :: StateFrom :: INITIALIZING StateTo :: RESUMED Activity :: in.startv.hotstar/com.hotstar.MainActivity Action :: com.jio.remote.action.applaunch
06-12 16:55:39.559 V/DigitalSignage(  632): Package Name: null
06-12 16:55:39.559 V/DigitalSignage(  632): Left: 0
06-12 16:55:39.559 V/DigitalSignage(  632): Right: 0
06-12 16:55:39.559 V/DigitalSignage(  632): Top: 0
06-12 16:55:39.559 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:39.559 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:39.578 V/DigitalSignage(  632): Package Name: null
06-12 16:55:39.578 V/DigitalSignage(  632): Left: 0
06-12 16:55:39.578 V/DigitalSignage(  632): Right: 0
06-12 16:55:39.578 V/DigitalSignage(  632): Top: 0
06-12 16:55:39.578 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:39.578 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:39.686 D/ConnectivityService(  632): NetReassign [no changes]
06-12 16:55:39.843 W/[ 7615.199485@0]  RTW(    0): cfg80211_rtw_scan(wlan0)
06-12 16:55:39.844 W/[ 7615.199502@0]  RTW(    0): cfg80211_rtw_scan (wlan0) tx:1845, rx:616, bi:2461 kbps, disallow(1)
06-12 16:55:39.844 W/[ 7615.199506@0]  RTW(    0): cfg80211_rtw_scan (wlan0) : scan abort!! BusyTraffic
06-12 16:55:40.330 V/DigitalSignage(  632): Package Name: null
06-12 16:55:40.330 V/DigitalSignage(  632): Left: 0
06-12 16:55:40.330 V/DigitalSignage(  632): Right: 0
06-12 16:55:40.330 V/DigitalSignage(  632): Top: 0
06-12 16:55:40.330 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:40.330 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:40.330 V/DigitalSignage(  632): Package Name: null
06-12 16:55:40.330 V/DigitalSignage(  632): Left: 0
06-12 16:55:40.330 V/DigitalSignage(  632): Right: 0
06-12 16:55:40.330 V/DigitalSignage(  632): Top: 0
06-12 16:55:40.330 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:40.330 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:40.417 V/DigitalSignage(  632): Package Name: null
06-12 16:55:40.417 V/DigitalSignage(  632): Left: 0
06-12 16:55:40.417 V/DigitalSignage(  632): Right: 0
06-12 16:55:40.417 V/DigitalSignage(  632): Top: 0
06-12 16:55:40.417 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:40.417 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:40.418 V/DigitalSignage(  632): Package Name: null
06-12 16:55:40.418 V/DigitalSignage(  632): Left: 0
06-12 16:55:40.418 V/DigitalSignage(  632): Right: 0
06-12 16:55:40.418 V/DigitalSignage(  632): Top: 0
06-12 16:55:40.418 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:40.418 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:40.422 V/DigitalSignage(  632): Package Name: null
06-12 16:55:40.423 V/DigitalSignage(  632): Left: 0
06-12 16:55:40.423 V/DigitalSignage(  632): Right: 0
06-12 16:55:40.423 V/DigitalSignage(  632): Top: 0
06-12 16:55:40.423 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:40.423 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:40.423 V/DigitalSignage(  632): Package Name: null
06-12 16:55:40.423 V/DigitalSignage(  632): Left: 0
06-12 16:55:40.423 V/DigitalSignage(  632): Right: 0
06-12 16:55:40.423 V/DigitalSignage(  632): Top: 0
06-12 16:55:40.423 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:40.423 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:40.450 V/DigitalSignage(  632): Package Name: null
06-12 16:55:40.450 V/DigitalSignage(  632): Left: 0
06-12 16:55:40.450 V/DigitalSignage(  632): Right: 0
06-12 16:55:40.450 V/DigitalSignage(  632): Top: 0
06-12 16:55:40.450 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:40.450 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:40.450 V/DigitalSignage(  632): Package Name: null
06-12 16:55:40.450 V/DigitalSignage(  632): Left: 0
06-12 16:55:40.451 V/DigitalSignage(  632): Right: 0
06-12 16:55:40.451 V/DigitalSignage(  632): Top: 0
06-12 16:55:40.451 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:40.451 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:40.523 V/DigitalSignage(  632): Package Name: null
06-12 16:55:40.523 V/DigitalSignage(  632): Left: 0
06-12 16:55:40.523 V/DigitalSignage(  632): Right: 0
06-12 16:55:40.523 V/DigitalSignage(  632): Top: 0
06-12 16:55:40.524 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:40.524 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:40.524 V/DigitalSignage(  632): Package Name: null
06-12 16:55:40.524 V/DigitalSignage(  632): Left: 0
06-12 16:55:40.524 V/DigitalSignage(  632): Right: 0
06-12 16:55:40.524 V/DigitalSignage(  632): Top: 0
06-12 16:55:40.524 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:40.524 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:40.571 D/CompatibilityChangeReporter(  632): Compat change id reported: 136274596; UID 10072; state: ENABLED
06-12 16:55:40.608 W/[ 7615.960640@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1429
06-12 16:55:40.607 V/DigitalSignage(  632): Package Name: null
06-12 16:55:40.607 V/DigitalSignage(  632): Left: 0
06-12 16:55:40.607 V/DigitalSignage(  632): Right: 0
06-12 16:55:40.607 V/DigitalSignage(  632): Top: 0
06-12 16:55:40.607 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:40.607 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:40.623 V/DigitalSignage(  632): Package Name: null
06-12 16:55:40.623 V/DigitalSignage(  632): Left: 0
06-12 16:55:40.623 V/DigitalSignage(  632): Right: 0
06-12 16:55:40.623 V/DigitalSignage(  632): Top: 0
06-12 16:55:40.623 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:40.623 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:42.161 F/linker  (14164): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:55:43.140 E/TaskPersister(  632): File error accessing recents directory (directory doesn't exist?).
06-12 16:55:43.428 W/[ 7618.780903@0]  RTW(    0): Turbo EDCA =0xa42b
06-12 16:55:45.443 W/[ 7620.796753@2]  RTW(    0): Turbo EDCA =0x5ea42b
06-12 16:55:45.723 W/[ 7621.079118@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2286
06-12 16:55:47.167 F/linker  (14168): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:55:50.853 W/[ 7626.209702@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2841
06-12 16:55:52.172 F/linker  (14209): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:55:55.976 W/[ 7631.330793@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3854
06-12 16:55:57.182 F/linker  (14229): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:56:01.127 W/[ 7636.481555@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 710
06-12 16:56:01.348 W/[ 7636.700762@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 742
06-12 16:56:01.387 W/[ 7636.743927@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 749
06-12 16:56:02.182 F/linker  (14242): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:56:05.235 W/[ 7640.591384@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1358
06-12 16:56:07.190 F/linker  (14251): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:56:07.236 W/[ 7642.589945@3]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1706
06-12 16:56:08.516 W/[ 7643.868745@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1900
06-12 16:56:10.343 W/[ 7645.699579@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2284
06-12 16:56:12.195 F/linker  (14266): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:56:15.495 W/[ 7650.849589@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3130
06-12 16:56:17.218 F/linker  (14278): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:56:17.422 V/DigitalSignage(  632): Package Name: null
06-12 16:56:17.423 V/DigitalSignage(  632): Left: 0
06-12 16:56:17.423 V/DigitalSignage(  632): Right: 0
06-12 16:56:17.423 V/DigitalSignage(  632): Top: 0
06-12 16:56:17.423 V/DigitalSignage(  632): Bottom: 0
06-12 16:56:17.423 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:56:20.615 W/[ 7655.968883@3]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 142
06-12 16:56:22.203 F/linker  (14297): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:56:25.724 W/[ 7661.080273@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 956
06-12 16:56:27.211 F/linker  (14306): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:56:30.875 W/[ 7666.229508@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1806
06-12 16:56:32.216 F/linker  (14321): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:56:35.912 W/[ 7671.268141@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2709
06-12 16:56:37.219 F/linker  (14333): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:56:40.267 W/[ 7675.623964@1]  audit(    0): audit_lost=8283 audit_rate_limit=5 audit_backlog_limit=64
06-12 16:56:40.268 E/[ 7675.623974@1]  audit(    0): rate limit exceeded
06-12 16:56:41.075 W/[ 7676.428682@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3607
06-12 16:56:42.231 F/linker  (14346): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:56:44.609 W/[ 7679.964780@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3882
06-12 16:56:44.609 W/[ 7679.964851@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3883
06-12 16:56:44.609 W/[ 7679.965426@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3884
06-12 16:56:45.223 W/[ 7680.578870@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3940
06-12 16:56:47.237 F/linker  (14359): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:56:50.347 W/[ 7685.700542@3]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 230
06-12 16:56:52.246 F/linker  (14370): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:56:55.484 W/[ 7690.838980@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 674
06-12 16:56:57.247 F/linker  (14388): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:56:58.691 W/[ 7694.044731@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 954
06-12 16:57:00.636 W/[ 7695.989381@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1228
06-12 16:57:02.254 F/linker  (14399): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:57:05.763 W/[ 7701.118769@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2092
06-12 16:57:07.263 F/linker  (14412): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:57:10.484 W/[ 7705.836940@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2835
06-12 16:57:12.265 F/linker  (14422): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:57:16.015 W/[ 7711.369736@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3671
06-12 16:57:17.271 F/linker  (14436): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:57:21.135 W/[ 7716.489241@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 415
06-12 16:57:22.276 F/linker  (14446): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:57:25.236 W/[ 7720.590717@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1059
06-12 16:57:27.277 F/linker  (14461): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:57:27.363 W/[ 7722.716739@3]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1419
06-12 16:57:29.390 W/[ 7724.744934@2]  audit(    0): audit_lost=8285 audit_rate_limit=5 audit_backlog_limit=64
06-12 16:57:29.391 E/[ 7724.744945@2]  audit(    0): rate limit exceeded
06-12 16:57:30.363 W/[ 7725.719090@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 1899
06-12 16:57:30.523 W/[ 7725.879862@2]  audit(    0): audit_lost=8403 audit_rate_limit=5 audit_backlog_limit=64
06-12 16:57:30.524 E/[ 7725.879872@2]  audit(    0): rate limit exceeded
06-12 16:57:32.286 F/linker  (14507): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:57:35.499 W/[ 7730.853393@3]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 2711
06-12 16:57:37.292 F/linker  (14558): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:57:40.027 W/[ 7735.381554@2]  audit(    0): audit_lost=8413 audit_rate_limit=5 audit_backlog_limit=64
06-12 16:57:40.028 E/[ 7735.381565@2]  audit(    0): rate limit exceeded
06-12 16:57:40.105 W/WindowManager(  632): removeWindowToken: Attempted to remove non-existing token: android.os.Binder@1ec007
06-12 16:57:40.110 V/DigitalSignage(  632): Package Name: null
06-12 16:57:40.110 V/DigitalSignage(  632): Left: 0
06-12 16:57:40.110 V/DigitalSignage(  632): Right: 0
06-12 16:57:40.110 V/DigitalSignage(  632): Top: 0
06-12 16:57:40.110 V/DigitalSignage(  632): Bottom: 0
06-12 16:57:40.110 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:57:40.115 I/ActivityManager(  632): Force stopping io.appium.uiautomator2.server appid=10096 user=0: finished inst
06-12 16:57:40.121 I/ActivityManager(  632): Killing 13953:io.appium.uiautomator2.server/u0a96 (adj 0): stop io.appium.uiautomator2.server due to finished inst
06-12 16:57:40.167 I/[ 7735.522028@2]  binder(    0): undelivered TRANSACTION_COMPLETE
06-12 16:57:40.168 I/[ 7735.522042@2]  binder(    0): undelivered transaction 4019468, process died.
06-12 16:57:40.278 I/ActivityManager(  632): Force stopping io.appium.uiautomator2.server appid=10096 user=0: from pid 14604
06-12 16:57:40.283 I/ActivityManager(  632): Force stopping io.appium.uiautomator2.server.test appid=10095 user=0: from pid 14605
06-12 16:57:40.615 W/[ 7735.969239@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3729
06-12 16:57:42.297 F/linker  (14654): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:57:45.735 W/[ 7741.089214@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 3988
06-12 16:57:47.301 F/linker  (14723): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:57:50.436 W/[ 7745.788844@1]  RTW(    0): Turbo EDCA =0xa42b
06-12 16:57:50.875 W/[ 7746.231294@3]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 165
06-12 16:57:52.305 F/linker  (14758): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:57:52.451 W/[ 7747.804859@0]  RTW(    0): Turbo EDCA =0x5ea42b
06-12 16:57:53.475 W/[ 7748.828693@0]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 305
06-12 16:57:55.995 W/[ 7751.350489@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 440
06-12 16:57:57.308 F/linker  (14770): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:58:01.123 W/[ 7756.479160@1]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 675
06-12 16:58:02.313 F/linker  (14788): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:58:05.243 W/[ 7760.599812@2]  RTW(    0): fill_default_txdesc(wlan0): SP Packet(0x0806) rate=0x4 SeqNum = 841
06-12 16:58:07.298 D/AutofillManagerService(  632): onBackKeyPressed()
06-12 16:58:07.317 F/linker  (14797): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
06-12 16:58:07.350 D/ActivityTaskManager(  632): JioHomeManagerService :: ActivityRecord :: setState :: StateFrom :: STOPPED StateTo :: RESUMED 
06-12 16:58:07.363 D/ActivityManager(  632): JioHomeManagerService :: StateFrom :: STOPPED StateTo :: RESUMED Activity :: com.iwedia.ui.rjio.launcher.reliance/com.iwedia.ui.rjio.launcher.ui.intro.IntroActivity Action :: com.jio.remote.action.applaunch
06-12 16:58:07.369 V/DigitalSignage(  632): Package Name: null
06-12 16:58:07.369 V/DigitalSignage(  632): Left: 0
06-12 16:58:07.369 V/DigitalSignage(  632): Right: 0
06-12 16:58:07.369 V/DigitalSignage(  632): Top: 0
06-12 16:58:07.370 V/DigitalSignage(  632): Bottom: 0
06-12 16:58:07.370 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:58:07.385 W/ActivityManager(  632): Receiver with filter android.content.IntentFilter@2d4faa9 already registered for pid 1781, callerPackage is com.iwedia.ui.rjio.launcher.reliance
06-12 16:58:07.421 V/DigitalSignage(  632): Package Name: null
06-12 16:58:07.421 V/DigitalSignage(  632): Left: 0
06-12 16:58:07.421 V/DigitalSignage(  632): Right: 0
06-12 16:58:07.421 V/DigitalSignage(  632): Top: 0
06-12 16:58:07.421 V/DigitalSignage(  632): Bottom: 0
06-12 16:58:07.421 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:58:07.504 V/DigitalSignage(  632): Package Name: null
06-12 16:58:07.504 V/DigitalSignage(  632): Left: 0
06-12 16:58:07.504 V/DigitalSignage(  632): Right: 0
